epoch,trainLoss,validationLoss,meanIoU
0,0.178702508680529,0.18974292102866072,0.8453487269545747
1,0.17799205569400792,0.19081948828313505,0.8424200875520664
2,0.18468849846414254,0.20750688481583165,0.8329887284764823
3,0.18859298058455878,0.2074472800790738,0.831604835509351
4,0.1992191723519106,0.20979969962984588,0.8286565433159264
5,0.1962302081872169,0.20316234954371654,0.8310127225159036
6,0.1979351091245477,0.202466800342424,0.8359965873288122
7,0.19895358175854713,0.18973655519412413,0.8456985350272264
8,0.18772003059550818,0.19687065664133488,0.8422069920313713
9,0.1776217164871236,0.18655664393287383,0.8490673841983907
10,0.1712383237097738,0.18643075699147618,0.8461832089821102
11,0.16406407924607358,0.18091298681166437,0.8570475255689222
12,0.15523292063525818,0.1796403517535965,0.8601061675466266
13,0.14726704255400747,0.17209240597076517,0.8645037322560516
14,0.14074564109813661,0.17160340792760648,0.864367544505062
15,0.13332679530890085,0.16408808065851005,0.8726146923110527
16,0.12419184871816914,0.1560732493541701,0.8754966053054112
17,0.11768062637719373,0.1706628813761462,0.8727056583006703
18,0.1125412119596881,0.16116527804359138,0.8778615307748989
19,0.10814687840242698,0.15787005358797743,0.8784348170949925
20,0.10489044797632248,0.1573915852913781,0.8803724441685723
21,0.10247637474102224,0.15646788136248446,0.8821551333673471
22,0.09988102284469703,0.1544082605294765,0.8820131314269659
23,0.09891096860850977,0.15725429082121797,0.8827880967149653
24,0.09835156410791157,0.15631212603885555,0.8826641476576613
